description,name,geometry
,00210,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.870172,60.152592,0.0 24.871116,60.150477,0.0 24.870472,60.145543,0.0 24.872446,60.144026,0.0 24.878626,60.143769,0.0 24.893689,60.144474,0.0 24.899011,60.149794,0.0 24.896049,60.154407,0.0 24.895492,60.157568,0.0 24.887638,60.156756,0.0 24.885492,60.15697,0.0 24.872575,60.154172,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00220,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.91622,60.147807,0.0 24.923944,60.153916,0.0 24.925704,60.160472,0.0 24.92197,60.162351,0.0 24.920812,60.160707,0.0 24.901114,60.155219,0.0 24.903688,60.150093,0.0 24.908667,60.14864,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00230,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.914117,60.214239,0.0 24.921541,60.212469,0.0 24.919825,60.208525,0.0 24.913001,60.211681,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00240,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.916348,60.217905,0.0 24.93772,60.215582,0.0 24.931669,60.206243,0.0 24.931369,60.203173,0.0 24.933815,60.198225,0.0 24.932914,60.192913,0.0 24.930253,60.192487,0.0 24.929395,60.193169,0.0 24.929459,60.195292,0.0 24.92094,60.194641,0.0 24.918494,60.19703,0.0 24.912357,60.205092,0.0 24.913001,60.211681,0.0 24.919825,60.208525,0.0 24.921541,60.212469,0.0 24.914117,60.214239,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00250,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.878712,60.188348,0.0 24.876909,60.183825,0.0 24.877596,60.177764,0.0 24.884205,60.17452,0.0 24.889011,60.174648,0.0 24.89944,60.176355,0.0 24.904032,60.177038,0.0 24.90931,60.177977,0.0 24.909396,60.180474,0.0 24.916391,60.180549,0.0 24.924846,60.183291,0.0 24.928579,60.182523,0.0 24.931626,60.18487,0.0 24.93639,60.185617,0.0 24.932914,60.192913,0.0 24.930253,60.192487,0.0 24.929395,60.193169,0.0 24.929459,60.195292,0.0 24.92094,60.194641,0.0 24.914203,60.19302,0.0 24.911799,60.19174,0.0 24.912529,60.191335,0.0 24.910641,60.191249,0.0 24.912615,60.188497,0.0 24.910383,60.187132,0.0 24.907894,60.185574,0.0 24.906349,60.186172,0.0 24.900641,60.190908,0.0 24.894547,60.193148,0.0 24.887896,60.195857,0.0 24.883347,60.192551,0.0 24.880815,60.191143,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00260,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.93257,60.178063,0.0 24.913988,60.176185,0.0 24.910083,60.176846,0.0 24.90931,60.177977,0.0 24.909396,60.180474,0.0 24.916391,60.180549,0.0 24.924846,60.183291,0.0 24.928579,60.182523,0.0 24.931626,60.18487,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00270,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.92094,60.194641,0.0 24.914203,60.19302,0.0 24.911799,60.19174,0.0 24.912529,60.191335,0.0 24.910641,60.191249,0.0 24.901586,60.191271,0.0 24.900641,60.190908,0.0 24.894547,60.193148,0.0 24.887896,60.195857,0.0 24.891586,60.197564,0.0 24.897809,60.197126,0.0 24.90135,60.197222,0.0 24.904139,60.19703,0.0 24.913023,60.197062,0.0 24.916027,60.19702,0.0 24.918494,60.19703,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00280,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.899268,60.207779,0.0 24.904075,60.207971,0.0 24.909954,60.207288,0.0 24.912357,60.205092,0.0 24.918494,60.19703,0.0 24.916027,60.19702,0.0 24.913023,60.197062,0.0 24.904139,60.19703,0.0 24.90135,60.197222,0.0 24.900835,60.198609,0.0 24.899333,60.201125,0.0 24.899096,60.205337,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00290,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.900641,60.190908,0.0 24.901586,60.191271,0.0 24.910641,60.191249,0.0 24.912615,60.188497,0.0 24.910383,60.187132,0.0 24.907894,60.185574,0.0 24.906349,60.186172,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00300,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.90135,60.197222,0.0 24.897809,60.197126,0.0 24.891586,60.197564,0.0 24.891157,60.199504,0.0 24.8912,60.201637,0.0 24.889398,60.201818,0.0 24.884055,60.207171,0.0 24.88502,60.208099,0.0 24.886694,60.208322,0.0 24.88884,60.208472,0.0 24.889998,60.209015,0.0 24.898946,60.207821,0.0 24.899268,60.207779,0.0 24.899096,60.205337,0.0 24.899333,60.201125,0.0 24.900835,60.198609,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
